@_uuid,today,general_infoq5_organization,general_infoq1_province,general_infoq2_district,s1_household_profile/head_of_household/female_hhd,s1_household_profile/head_of_household/child_hhd,s1_household_profile/head_of_household/elderly_hhd,s1_household_profile/head_of_household/chronically_ill,s1_household_profile/head_of_household/hh_disability,s2_cash_distribution_processq2_1_do_u_think_gave_right_people,s2_cash_distribution_processq2_3_how_mach_cash,s2_cash_distribution_processq2_5_travel_more_than_1_hour,s2_cash_distribution_processq2_6_feel_unsafe_when_travelling,s3_use_of_cash_assistanceq3_4_cash_improved_wellbeing_ur_hhd,s3_use_of_cash_assistanceq3_5_1_food,s3_use_of_cash_assistanceq3_5_2_kitchen_items_nfis,s3_use_of_cash_assistanceq3_5_3_hygiene_items_nfis,s3_use_of_cash_assistanceq3_5_4_clothes_nfis,s3_use_of_cash_assistanceq3_5_5_blankets_nfis,s3_use_of_cash_assistanceq3_5_6_rent,s3_use_of_cash_assistanceq3_5_7_shelter_repair,s3_use_of_cash_assistanceq3_5_8_health,s3_use_of_cash_assistanceq3_5_9_transportation,s3_use_of_cash_assistanceq3_5_10_utillites,s3_use_of_cash_assistanceq3_5_11_debt_repayment,s3_use_of_cash_assistanceq3_5_12_education,s3_use_of_cash_assistanceq3_5_13_saved,s5_multi_sector_outcome_indexq5_4_debt_compared,CSI,rCSI_newThreshold,FCS,FCS_Level,FCS_rCSI
d6cb4ca3-e95d-445c-aee5-7f5e6f674274,2018-01-17,ACF,Hilmand,Lashkargah,,,,,,yes,12000,yes,no,yes_improved_a_lot,more_than_half,,less_than_half,,,less_than_half,,less_than_half,less_than_half,,,,,same,6,2,34.5,2,2
162fb04a-a508-488e-94fd-7c2b4bdbc239,2018-01-16,ACF,Hilmand,Lashkargah,1,0,0,0,0,yes,12000,no,no,yes_improved_a_lot,less_than_half,,less_than_half,,,less_than_half,,less_than_half,,,,,,same,7,2,33.5,2,2
59e8d985-7351-4321-b8e3-aa73bda00f41,2018-01-16,ACF,Hilmand,Lashkargah,1,0,0,0,0,yes,12000,no,no,yes_improved_a_lot,less_than_half,,,less_than_half,,,,less_than_half,,,,,,same,6,2,32.5,2,2
f7c63795-08c1-4e86-ac16-6ef63a607637,2018-01-16,ACF,Hilmand,Lashkargah,1,0,0,0,0,yes,12000,no,no,yes_improved_a_little,more_than_half,less_than_half,,,,less_than_half,,less_than_half,less_than_half,,,,,less,6,2,30.5,2,2
480e4fda-ab07-47f5-8398-ec22648ff63c,2018-01-16,ACF,Hilmand,Lashkargah,1,0,0,0,0,yes,12000,yes,no,yes_improved_a_lot,less_than_half,more_than_half,,,,less_than_half,less_than_half,less_than_half,less_than_half,,,,,more,6,2,37,2,2
7e63691e-5259-4247-b527-c668e586b751,2018-01-16,ACF,Hilmand,Lashkargah,1,0,0,0,0,yes,12000,no,no,yes_improved_a_lot,more_than_half,less_than_half,,,,less_than_half,,less_than_half,,,,,,more,5,2,32.5,2,2
a60b942e-387d-4596-8bfe-f7139e0d2c81,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_little,,,,less_than_half,,,,,less_than_half,,more_than_half,,,less,1,3,44.5,3,3
a5e28e5b-9891-4ffd-8d0e-71e59912dfc7,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,less_than_half,,,less_than_half,,less_than_half,,,,less,1,3,42.5,3,3
6de7b735-6781-46ce-9fc4-9a88bcb8c85c,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,more_than_half,,,,,,,less_than_half,,less_than_half,,,,less,1,3,44.5,3,3
bce46e66-8ffb-4382-a2f7-31b8f6dfefa7,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,less_than_half,,,more_than_half,,,less,1,3,44.5,3,3
a3c25af0-969a-42c2-a0f0-80f1436ae72e,2018-01-21,NRC,Nangarhar,Khogyani,,,,,,yes,14000,no,no,yes_improved_a_lot,less_than_half,,,,,,,,,,more_than_half,,,less,0,3,44.5,3,3
